id,chip,type,label,ch_count,inputs,outputs,spi_page,spi_addr,params,ramp_profile
C1_IN_01,1,INPUT_TDM,Ch 1 Input,1,,C1_GAIN_01,-1,-1,sport_id=0;slot_start=0;slot_count=1;sport_slots=8;signal=IN_01,
C1_GAIN_01,1,GAIN,Ch 1 Gain,1,C1_IN_01,C1_FILT_01,1,0,gain_db=0.0;mute=0;polarity=0,GainFast
C1_FILT_01,1,HPF_LPF,Ch 1 HPF+LPF,1,C1_GAIN_01,C1_EQ_01,1,4,hpf_freq=80.0;hpf_slope=18;lpf_freq=20000.0,EqSafe
C1_EQ_01,1,EQ_BIQUAD,Ch 1 EQ,1,C1_FILT_01,C1_GATE_01,1,16,bands=4;coeffs=default,EqSafe
C1_GATE_01,1,GATE,Ch 1 Gate,1,C1_EQ_01,C1_COMP_01,1,40,threshold_db=-40.0;attack_ms=1.0;hold_ms=50.0;release_ms=100.0;range_db=60.0;key=0;det_src=0;filter_on=0;filter_hpf=80.0;filter_lpf=8000.0;filter_q=1.0,DynSafe
C1_COMP_01,1,COMPRESSOR,Ch 1 Comp,1,C1_GATE_01,C1_TUBE_01,1,56,threshold_db=-20.0;ratio=4.0;attack_ms=5.0;release_ms=100.0;knee_db=6.0;makeup_db=0.0;parallel=0;type=VCA;key=0;det_src=0;lim_mode=0;eq_pos=0;filter_on=0;filter_hpf=80.0;filter_lpf=8000.0;filter_q=1.0,DynSafe
C1_TUBE_01,1,TUBE_SAT,Ch 1 Tube,1,C1_COMP_01,C1_DLY_01,1,76,on=0;saturation=0.0,GainFast
C1_DLY_01,1,DELAY,Ch 1 Delay,1,C1_TUBE_01,C1_FDR_01,1,78,delay_ms=0.0;local_ms=20.0;max_ms=250.0;pool_slot=0,InstantCtl
C1_FDR_01,1,FADER_PAN,Ch 1 Fader,1,C1_DLY_01,C1_RTG_01,1,80,level_db=-inf;pan=0.0;mute=0,GainFast
C1_RTG_01,1,ROUTING,Ch 1 Route,1,C1_FDR_01,C1_BUS_MAIN_L;C1_BUS_MAIN_R;C1_BUS_SUB;C1_BUS_GRP_01;C1_BUS_GRP_02;C1_BUS_GRP_03;C1_BUS_GRP_04;C1_BUS_AUX_01;C1_BUS_AUX_02;C1_BUS_AUX_03;C1_BUS_AUX_04;C1_BUS_AUX_05;C1_BUS_AUX_06;C1_BUS_AUX_07;C1_BUS_AUX_08;C1_BUS_AUX_09;C1_BUS_AUX_10;C1_BUS_AUX_11;C1_BUS_AUX_12;C1_BUS_FX_01;C1_BUS_FX_02;C1_BUS_FX_03;C1_BUS_FX_04;C1_BUS_FX_05;C1_BUS_FX_06,1,84,main_on=1;sub_on=0;grp_on=0000;aux_on=000000000000;fx_on=000000,GainFast
C1_IN_02,1,INPUT_TDM,Ch 2 Input,1,,C1_GAIN_02,-1,-1,sport_id=0;slot_start=1;slot_count=1;sport_slots=8;signal=IN_02,
C1_GAIN_02,1,GAIN,Ch 2 Gain,1,C1_IN_02,C1_FILT_02,1,144,gain_db=0.0;mute=0;polarity=0,GainFast
C1_FILT_02,1,HPF_LPF,Ch 2 HPF+LPF,1,C1_GAIN_02,C1_EQ_02,1,148,hpf_freq=80.0;hpf_slope=18;lpf_freq=20000.0,EqSafe
C1_EQ_02,1,EQ_BIQUAD,Ch 2 EQ,1,C1_FILT_02,C1_GATE_02,1,160,bands=4;coeffs=default,EqSafe
C1_GATE_02,1,GATE,Ch 2 Gate,1,C1_EQ_02,C1_COMP_02,1,184,threshold_db=-40.0;attack_ms=1.0;hold_ms=50.0;release_ms=100.0;range_db=60.0;key=0;det_src=0;filter_on=0;filter_hpf=80.0;filter_lpf=8000.0;filter_q=1.0,DynSafe
C1_COMP_02,1,COMPRESSOR,Ch 2 Comp,1,C1_GATE_02,C1_TUBE_02,1,200,threshold_db=-20.0;ratio=4.0;attack_ms=5.0;release_ms=100.0;knee_db=6.0;makeup_db=0.0;parallel=0;type=VCA;key=0;det_src=0;lim_mode=0;eq_pos=0;filter_on=0;filter_hpf=80.0;filter_lpf=8000.0;filter_q=1.0,DynSafe
